utt_key,transcription,counts
1267711451_e2a754b4f8_2,"a black and white dog walking through the grass with a long stick in his mouth","walks=3|large=1|field=1|carrying=2|black=2|stick=3|holding=2|rock=1|mouth=5|white=1|grass=4|dogs=5"
127488876_f2d2a89588_4,"two men looking into the distance on a golf course","mountain=1|stands=1|air=1|field=3|sand=1|grass=4"
127490019_7c5c08cb11_0,"a girl is getting ready to swing the club","ball=3|stands=1|young=3|carrying=2|mouth=1|holding=3|smiling=1|grass=1|children=3|women=1"
1282392036_5a0328eb86_0,"a group of people in costume at a renaissance fair","wearing=2|boy=1|stands=1|camera=1|park=1|face=1|field=1|running=1|race=1|orange=1|grass=1|children=1"
1287073593_f3d2a62455_0,"a group of dogs pull a person on a dog sled up a hill","mountain=3|sits=2|snowy=3|top=2|sitting=2|snow=3|running=2|carrying=2|riding=1|holding=2|walks=1|climbing=1|grass=1|rides=3|dogs=4|road=2"
1287475186_2dee85f1a5_0,"a boy sitting in water","boy=5|little=1|sitting=1|face=1|young=4|ocean=3|water=2|mouth=1|small=1|smiling=2|sits=4|beach=3|children=2|pool=3|swimming=4"
1298295313_db1f4c6522_1,"a boy diving backward off a pier in a large lake","boy=5|jumps=5|water=5|young=3|air=2|large=1|bike=1|small=2|climbing=1|ocean=1|beach=1|children=2|swimming=3"
1311388430_4ab0cd1a1f_1,"a person is hanging in the air from the power lines","climbing=2|women=1|street=1|air=1"
1317292658_ba29330a0b_1,"a boy in bathing trunks is standing under a water shower","wearing=2|boy=5|little=1|stands=3|park=1|young=3|ocean=1|water=5|small=1|smiling=1|beach=1|children=4|pool=1|swimming=1"
1322323208_c7ecb742c6_0,"a boy and a girl playing on the beach","boy=5|toy=1|running=1|jumps=1|young=3|face=2|water=3|sand=4|mouth=1|small=1|ocean=3|beach=5|children=4|swimming=2"
132489044_3be606baf7_0,"a man sleeping with a bag on his lap on public transportation","brown=1|shirt=1|sitting=1|hat=1|carrying=3|face=1|street=1|holding=2|riding=3|sits=2|rides=2"
1329832826_432538d331_4,"this is a picture of a broadway rite aid pharmacy that has a bright neon sign and people are prepared to cross the street in front of it","wearing=1|building=5|stands=2|car=1|street=5|walks=1|smiling=1|children=1|road=3"
1332722096_1e3de8ae70_1,"three women walk down the street","three=2|face=1|street=3|walks=5|smiling=1|road=4|women=5"
1339596997_8ac29c1841_3,"three women in head scarves examine a camera","wearing=4|three=4|face=1|hair=1|camera=5|holding=2|women=5"
1343426964_cde3fb54e8_3,"a young kid at the beach","boy=1|little=3|shirt=1|young=5|air=1|water=5|baby=1|sand=4|rock=1|small=2|ocean=4|beach=5|children=5|swimming=1"
1348304997_afe60a61df_3,"the small red haired girl jumps on the trampoline under the tree by the shed","building=1|field=1|little=2|shirt=1|orange=1|tree=4|jumps=4|top=1|park=1|young=5|air=1|hair=3|small=4|baby=1|grass=1|children=3|red=2"
1352410176_af6b139734_2,"a young girl balances on wooden pylons at the beach","wearing=1|hair=1|little=2|stands=1|face=1|shirt=1|top=1|young=5|ocean=3|water=4|sand=4|walks=1|small=1|climbing=1|women=1|beach=5|children=2|swimming=2"
1356796100_b265479721_1,"a girl peeks through the leaves on a tree","little=3|tree=5|park=1|young=4|face=1|field=1|running=1|small=1|smiling=1|children=2"
136552115_6dc3e7231c_0,"a helmeted man jumping off a rock on a mountain bike","wearing=1|mountain=4|dirt=1|jumps=4|air=2|bike=5|rock=5|riding=2|rides=1"
136644343_0e2b423829_4,"young boy swinging on a tire swing","boy=4|little=4|grass=1|sitting=3|tree=3|face=1|park=1|young=4|air=2|field=1|toy=1|small=2|riding=1|smiling=1|sits=1|children=5"
136886677_6026c622eb_1,"two man are paddling a kayak along a river with green trees on either side","hair=1|grass=1|boy=1|tree=2|sitting=2|park=1|water=4|field=1|sand=1|stick=1|riding=1|sits=1"
1386964743_9e80d96b05_4,"small child with black hair standing in car track near sunflowers","baby=1|boy=1|little=3|stands=3|dirt=1|young=3|yellow=2|face=1|hair=2|field=1|street=1|black=3|small=2|mouth=1|smiling=1|grass=3|children=2|road=1|shirt=1"
138718600_f430ebca17_1,"two blonde women sit beside their bicycles in the grass beside a body of water","grass=4|sitting=4|tree=1|park=1|yellow=1|air=1|water=3|field=2|women=5|bike=3|ocean=2|sits=2|beach=2|pool=1|swimming=1"
1387785218_cee67735f5_4,"a young child carrying a doll in a stroller","little=4|toy=4|stands=1|car=1|park=1|young=5|small=3|carrying=5|holding=1|walks=3|baby=3|smiling=1|children=2"
1389264266_8170bc1c54_0,"a girl with pink streaked hair and fur uggs looks back while the girl walking next to her looks at her","wearing=4|pink=4|little=2|stands=1|boy=1|shirt=1|young=2|face=4|hair=4|mouth=1|walks=4|smiling=1|grass=1|children=3|women=3"
1392272228_cf104086e6_4,"a dog retrieves a branch from on a beach","large=1|tree=1|park=1|ocean=4|water=4|sand=1|carrying=4|mouth=2|stick=5|holding=1|small=1|beach=5|dogs=5"
1394368714_3bc7c19969_1,"a man holding the leash of a pug bends down to look in a bin at an outdoor rummage sale","little=1|stands=1|carrying=2|children=1|street=2|holding=3|walks=2|small=1|face=1|dogs=4"
1402640441_81978e32a9_0,"a boy in red and blue shorts is trying to catch a soccer ball while running in sand","wearing=1|boy=5|little=1|ball=3|dogs=1|face=1|jumps=1|football=1|sand=4|young=3|running=5|ocean=4|small=2|soccer=4|beach=5|children=4|red=3"
1404832008_68e432665b_2,"a man on a tag line going into the water","rides=2|air=1|water=5|race=1|holding=1|ocean=4|beach=3|pool=3|swimming=3"
1408958345_68eea9a4e4_0,"a girl smiles as she runs across the white sandy beach in her swimsuit","wearing=3|white=1|sand=3|young=4|water=3|running=4|small=1|smiling=5|ocean=3|beach=3|children=4|swimming=2"
1415591512_a84644750c_4,"the little girl is spinning around making her hair fly in front of the silver car","wearing=1|pink=1|little=4|car=3|young=4|hair=3|running=1|small=1|children=2|women=1"
1417031097_ab656bc4bd_3,"people on an amusement park ride","sitting=1|park=2|air=1|water=1|black=1|riding=5|smiling=3|sits=2|rides=5|women=1"
1425069308_488e5fcf9d_1,"a white dog catching a blue ball","ball=4|jumps=3|park=1|air=1|hair=1|running=1|toy=3|mouth=3|holding=1|carrying=2|white=5|dogs=4"
1427391496_ea512cbe7f_1,"a little boy is smiling for the camera on a playground","boy=5|little=4|stands=1|park=2|young=3|face=3|camera=4|mouth=2|small=3|smiling=3|grass=1|children=5"
1432179046_8e3d75cf81_3,"man stands outside against wall with tennis racket in dark","building=4|boy=1|ball=2|stands=5|dirt=1|tennis=5|sand=1|carrying=2|black=1|holding=3|rock=1|shirt=1"
1433142189_cda8652603_1,"a man is backpacking up a grassy hill","wearing=3|boy=1|snowy=1|top=1|dirt=1|park=1|jacket=1|field=2|carrying=2|mouth=1|walks=4|climbing=3|mountain=1|grass=3"
143688283_a96ded20f1_2,"a man in a white shirt and helmet is using climbing equipment","wearing=3|mountain=2|shirt=1|boy=2|top=1|dirt=1|park=1|holding=1|rock=1|climbing=4|white=3|hat=1"
1446053356_a924b4893f_0,"children participate in a sport on a green field while in uniforms","wearing=2|boy=2|little=1|soccer=1|football=1|park=1|young=4|field=3|running=3|small=2|grass=4|children=4"
1456393634_74022d9056_3,"a little boy does a cartwheel on the beach","boy=4|little=4|young=4|ocean=3|water=2|sand=3|small=2|beach=4|children=5|swimming=1"
1461667284_041c8a2475_4,"four people performing music outdoors","field=1|grass=1|park=1|stands=1|women=1"
1467533293_a2656cc000_3,"two little girls in pink are in a playground","wearing=3|pink=4|little=4|toy=1|sand=1|dirt=1|park=4|young=4|air=1|running=2|race=1|small=2|children=4|women=1"
1472230829_803818a383_4,"seven rafters are paddling and riding the rapids in a green raft","mountain=1|sitting=3|rides=4|ocean=1|water=5|holding=2|climbing=1|riding=4|sits=1|beach=1"
1472882567_33dc14c8b6_2,"four people climbing a hill in the snow","mountain=4|snowy=5|rock=1|snow=4|jacket=2|walks=2|climbing=4|white=2|children=1"
1490213660_9ea45550cf_2,"a male weimaraner with a clipped tail is walking through a river","boy=1|jumps=1|park=2|air=1|water=5|running=1|walks=4|beach=1|dogs=4|swimming=2"
1490670858_e122df2560_0,"a child on a red slide","boy=4|little=3|sits=1|young=4|jacket=1|toy=1|mouth=1|small=1|grass=1|children=5|red=3"
1499581619_a5f65a882c_4,"two people kiss on the beach","ocean=3|young=1|air=1|water=4|sand=4|mouth=2|walks=1|face=2|beach=5|swimming=1"
150387174_24825cf871_0,"a man dressed in camouflage riding a motorbike","wearing=4|brown=1|street=2|dirt=1|sitting=2|bike=2|face=1|race=1|holding=1|riding=3|sits=3|rides=4|road=2"
1509786421_f03158adfc_4,"the man in the blue shirt is looking in the direction to which the little boy is pointing","wearing=3|boy=5|little=4|shirt=4|young=3|face=1|jacket=1|field=1|grass=1|children=2"
1517721825_10176d0683_4,"three dogs run through the water near the rocks and make splashes","three=5|water=5|running=5|rock=4|beach=3|dogs=5|pool=2|swimming=2"
1523984678_edd68464da_4,"the dog wearing the red collar is running across the grass with a ball in its mouth","wearing=2|little=1|ball=4|carrying=3|park=2|sand=1|air=1|large=1|field=2|running=5|race=1|mouth=5|holding=3|toy=2|grass=2|dogs=5|red=5"
1536774449_e16b1b6382_3,"a very large group of people stand outdoors under the beautiful clouds","stands=2|shirt=1|children=1|young=1|air=2|large=3|field=3|smiling=1|grass=2|white=2|women=1"
1547883892_e29b3db42e_0,"a girl is reading while drinking starbuck 's coffee","little=1|sitting=2|young=3|carrying=2|mouth=1|holding=4|sits=1|women=1"
154871781_ae77696b77_3,"two boys kick around a ball in a meadow","boy=5|little=1|ball=5|dirt=2|football=2|park=1|young=5|air=1|field=4|running=3|toy=1|small=1|grass=5|soccer=2|children=4"
1554713437_61b64527dd_3,"a skinny brown dog walks across a large piece of fallen tree","brown=1|dirt=2|park=1|tree=3|large=2|walks=5|dogs=5"
1561658940_a947f2446a_0,"a little girl in a swing laughs","pink=1|little=3|face=4|sitting=4|park=3|young=4|air=1|mouth=2|small=3|riding=1|smiling=5|sits=3|rides=2|children=3"
1572532018_64c030c974_2,"three boys are running on the beach playing a game","wearing=1|boy=3|little=2|hair=1|sand=4|dirt=1|face=1|young=4|three=2|water=1|baby=1|running=5|race=2|mouth=1|small=1|toy=1|smiling=2|ocean=4|beach=5|children=4"
1584315962_5b0b45d02d_3,"mountain climbers are setting up their tents","mountain=5|climbing=2|snowy=1|snow=1|rock=4"
160792599_6a7ec52516_0,"a group of people stand in the sand looking out at the water","stands=3|ocean=5|water=4|sand=4|beach=5|pool=1"
1626754053_81126b67b6_4,"dog jumping for frisbee","toy=4|dirt=1|tree=1|jumps=4|park=1|sand=1|air=2|running=1|mouth=1|grass=1|beach=1|dogs=4"
1659358141_0433c9bf99_3,"a grey dog walks in the green grass tongue hanging out","stands=1|dirt=1|field=1|mouth=2|holding=1|walks=5|smiling=1|grass=5|dogs=4"
166507476_9be5b9852a_4,"two oriental lizards are fighting for dominance in a small pond","water=4|small=2|little=1|grass=1|swimming=1"
1674612291_7154c5ab61_0,"a dog is jumping to catch a frisbee and casts a perfect shadow","toy=3|jumps=4|park=1|air=3|running=2|mouth=2|dogs=4"
1679617928_a73c1769be_4,"the black and white dog is tethered next to a yellow car","boy=1|stands=1|car=4|yellow=5|jacket=1|street=1|black=4|holding=1|white=2|grass=1|rides=1|dogs=4|road=1"
1682079482_9a72fa57fa_0,"a little girl on a kid swing","little=4|grass=1|shirt=1|sitting=3|park=1|young=3|air=1|baby=1|small=1|riding=3|sits=5|children=4|women=2"
170100272_d820db2199_3,"a little girl is sliding down a slide at a park","little=2|soccer=1|sitting=1|park=4|young=3|water=1|field=1|small=1|grass=3|rides=2|children=3"
1714316707_8bbaa2a2ba_3,"a person in a red jacket stands under a snow-covered tree","wearing=4|stands=4|snowy=4|tree=4|snow=4|jacket=5|white=1|red=4"
172097782_f0844ec317_1,"a man waterskiing with one hand","ocean=4|water=4|holding=2|riding=3|air=2|rides=2"
1764955991_5e53a28c87_3,"a large dog walks along a gravel path in the woods","mountain=1|dirt=2|tree=3|walks=4|park=1|large=3|rock=1|hair=1|dogs=5|road=1"
1765164972_92dac06fa9_4,"the person is posing in a red flannel shirt with a mohawk","wearing=4|hair=1|stands=1|boy=1|top=1|face=3|jacket=1|camera=1|sits=1|red=4|shirt=2"
1772859261_236c09b861_4,"black and white dog wearing a harness walking through water","wearing=2|ocean=1|water=4|sand=1|black=2|walks=3|mouth=1|white=2|beach=1|dogs=4|pool=1"
1773928579_5664a810dc_1,"a dog is running through an obstacle course in front of a group of people","jumps=1|field=3|running=5|race=4|dogs=5|women=1"
1786425974_c7c5ad6aa1_3,"the black dog is sniffing the brown dog 's butt","brown=5|black=3|dogs=4|mouth=1|face=1"
180094434_b0f244832d_2,"three boys play around a fountain in an office building courtyard","building=3|boy=5|little=1|jumps=1|tree=1|young=4|three=5|water=3|running=1|climbing=1|children=5|pool=1"
180506881_de0f59770f_2,"two guys walking one carrying a skateboard","carrying=4|skateboard=5|hair=1|running=1|street=1|holding=2|walks=3|rides=1"
1808370027_2088394eb4_3,"the dog swims through the water toward the waterfall","ocean=3|water=5|beach=1|dogs=3|pool=3|swimming=4"
1836335410_de8313a64e_4,"the man is playing with his star wars light sword","wearing=1|toy=3|shirt=1|jumps=1|face=1|carrying=3|stick=3|holding=3|children=1|red=1"
1897025969_0c41688fa6_4,"two dogs one white and one black play with each other in the sand","little=1|dirt=2|jumps=1|sand=3|ocean=2|running=2|black=3|white=3|beach=5|dogs=5"
189721896_1ffe76d89e_2,"a young man climbs a mountain another follows below","boy=2|stands=1|mountain=5|walks=1|park=1|young=5|rock=1|climbing=4|grass=1|hat=1|shirt=1"
191003285_edd8d0cf58_0,"a man and a girl sit on the ground and eat","grass=3|shirt=1|dirt=1|carrying=1|sitting=3|young=1|face=1|ball=1|mouth=3|sits=5|children=2"
1917265421_aeccf1ca38_1,"children playing with a pig","pink=1|boy=2|little=1|park=1|young=2|three=1|field=1|small=2|smiling=2|grass=1|children=5"
1962729184_6996e128e7_4,"group of schoolchildren in uniforms standing at a gate one kissing her mother goodbye","wearing=2|boy=2|little=3|stands=2|young=2|face=1|street=1|mouth=3|small=4|building=1|children=5|women=5"
197107117_4b438b1872_2,"a rock climber climbs in between two very large rocks","large=2|mountain=3|climbing=5|rock=5|women=1"
197504190_fd1fc3d4b7_4,"two little boys are playing outside with their soccer ball on the green grass","boy=5|little=3|ball=3|dirt=1|tree=1|jumps=1|white=2|park=2|young=3|soccer=5|field=4|running=3|toy=1|holding=1|small=3|smiling=1|grass=5|children=4"
1982852140_56425fa7a2_4,"two people running on the shore of a beach","boy=1|running=3|ocean=3|water=4|sand=5|race=1|beach=4|children=1"
1998457059_c9ac9a1e1a_4,"some wakeboarders riding waves on a beach busy with tourists","stands=1|rides=3|jumps=1|ocean=4|water=4|sand=2|walks=1|riding=4|beach=5|swimming=1"
200771289_31902164a7_2,"two men in black bulletproof vests watch something taking place to the right of the picture","wearing=4|street=1|stands=1|car=1|face=1|camera=1|black=4|shirt=1"
2021613437_d99731f986_4,"one little boy dribbles his basketball","boy=4|little=5|ball=4|stands=1|carrying=1|park=1|young=3|street=2|small=2|toy=1|children=1"
2041867793_552819a40b_3,"child in a restaurant posing with a paper mask","wearing=1|boy=1|little=3|toy=2|building=2|brown=1|young=4|face=3|carrying=1|holding=1|small=1|smiling=1|children=5"
2049051050_20359a434a_0,"a girl in a black jacket and hat is covered in a pink blanket","wearing=4|jacket=3|little=1|young=3|face=1|hair=1|pink=4|black=2|mouth=1|sits=1"
2054869561_ff723e9eab_0,"a black and white dog chases a pink frisbee","pink=2|toy=4|jumps=1|park=1|air=1|field=1|black=4|holding=1|mouth=2|white=3|dogs=3"
2061144717_5b3a1864f0_1,"a man and young boy are standing looking at each other in an outdoor garden area","boy=5|little=1|stands=3|tree=1|park=3|young=5|face=2|small=2|smiling=2|grass=3|children=1|shirt=1"
2061354254_faa5bd294b_3,"a man pushes a boy on a zip line","boy=4|little=3|stands=1|top=1|park=1|young=3|air=1|riding=1|rides=1|children=5"
2064790732_219e52e19c_1,"a little boy dances with a group of people behind him on a city street","building=2|boy=5|little=2|car=2|young=5|three=1|small=3|street=5|walks=1|baby=1|smiling=1|children=4|road=1"
2073105823_6dacade004_1,"a man skateboards down a steep railing next to some steps","skateboard=2|park=2|field=1|street=3|mouth=1|riding=3|rides=1"
2073964624_52da3a0fc4_1,"a woman wearing a pink cap riding a bicycle","pink=4|wearing=4|sitting=2|hat=3|bike=2|riding=4|rides=3|road=2|women=4"
2075321027_c8fcbaf581_3,"closeup of a man cycling down a road lined with boulders","bike=4|street=2|dirt=1|large=1|race=1|rock=3|riding=4|rides=5|road=5"
2077079696_03380d218b_1,"a man carying sticks descends a rocky hill","wearing=1|mountain=3|walks=3|face=1|carrying=3|stick=4|holding=2|rock=4|climbing=3|road=1"
2078311270_f01c9eaf4c_3,"two women walking down the street","car=1|street=5|walks=4|smiling=1|road=5|women=5"
2083434441_a93bc6306b_2,"an older woman with blond hair rides a bicycle down the street","wearing=1|bike=3|sitting=1|yellow=3|hair=3|street=4|riding=4|smiling=1|sits=1|rides=5|road=3|women=3"
2084217208_7bd9bc85e5_2,"a woman riding a bike in a park","bike=5|sitting=1|park=5|young=2|hair=1|field=1|race=1|riding=5|grass=3|rides=4|women=5"
2086513494_dbbcb583e7_1,"a girl in a white puffy jacket takes a picture","wearing=3|little=1|white=4|young=2|jacket=3|camera=4|mouth=1|holding=1|small=1|smiling=1|children=2|women=1"
2089426086_7acc98a3a8_0,"a girl in a hooded jacket presents a cake with candles","wearing=3|shirt=1|young=2|jacket=4|holding=2|walks=1|smiling=1|children=1|women=3"
2096771662_984441d20d_0,"a man looks through his binoculars while another man holds a drink","wearing=2|stands=1|sitting=1|hair=1|field=1|street=1|holding=4"
2100816230_ff866fb352_3,"a skier catches air over the snow","mountain=2|snowy=5|jumps=4|snow=5|air=4|jacket=1|field=1|riding=2|rides=3"
2101457132_69c950bc45_4,"a wet black dog leaps across a stream","large=1|jumps=4|air=2|water=5|black=4|rides=1|dogs=4|swimming=3"
2102360862_264452db8e_0,"a man on the beach is taking a picture of another man","stands=1|ocean=4|water=2|sand=4|camera=2|holding=1|smiling=1|face=1|beach=5"
2103568100_5d018c495b_2,"a white dog is walking through a river that runs through a rocky landscape","mountain=3|brown=1|dirt=1|rock=3|running=2|water=4|field=1|sand=1|walks=1|white=2|grass=1|beach=1|dogs=5"
2105756457_a100d8434e_4,"two young kids are in a hut","building=3|little=3|dirt=1|young=5|small=2|mouth=1|baby=1|sits=1|children=5"
2112921744_92bf706805_2,"a dog stands on the side of a grassy cliff","mountain=2|grass=4|stands=5|dirt=1|tree=2|park=1|field=1|rock=2|sits=1|beach=1|dogs=5|road=1"
211295363_49010ca38d_1,"a large boat drives through the harbor","water=4|large=3|ocean=3|beach=1|riding=1"
2120383553_5825333a3f_0,"a girl wrings out a wet shirt","wearing=1|pink=1|little=3|shirt=5|top=1|young=4|ocean=1|water=4|carrying=2|holding=2|women=1|children=1|pool=1|swimming=2"
2120411340_104eb610b1_3,"a white dog stands in front of a cow that has its head down and horns directed at the dog","stands=3|dirt=1|face=2|large=2|field=2|white=2|dogs=5"
2124040721_bffc0a091a_4,"a person with gray hair wears a red hat and watches it snow","wearing=4|little=1|stands=2|snowy=5|snow=3|air=1|hair=3|field=1|mouth=1|white=1|face=2|hat=4|red=3"
2128119486_4407061c40_0,"a baby eats and has food on his face","wearing=1|little=4|sitting=1|young=3|face=4|baby=4|mouth=3|small=1|smiling=1|sits=1|children=2"
2140182410_8e2a06fbda_0,"a boy in black winter clothes sits on an inflated sled by a mound of snow","wearing=2|boy=4|mountain=2|rides=3|face=1|snowy=4|young=4|snow=5|jacket=3|black=3|sitting=3|small=1|riding=1|white=3|sits=2|hat=2|children=2"
2148916767_644ea6a7fa_0,"a black and white dog playing in the snow together","snowy=5|snow=4|running=2|black=3|stick=1|mouth=1|white=2|dogs=5"
215214751_e913b6ff09_1,"a silhouette of two men in a boat on a misty lake","jacket=1|sitting=1|air=1|water=4|field=1|riding=2|sits=1|rides=2"
2160266952_a2ab39191b_1,"the children are wearing black tights while hopping","wearing=5|little=4|jumps=2|park=1|young=5|air=1|field=1|black=5|small=3|grass=1|children=5"
2162564553_96de62c7e6_1,"a shirtless man in a pink hat is standing on a rocky shore","pink=4|wearing=3|stands=4|hat=3|ocean=4|water=5|sand=1|rock=3|beach=4|shirt=1"
2167644298_100ca79f54_2,"a man wearing all black and a black hat is smiling","wearing=4|boy=1|top=1|face=1|jacket=2|camera=1|black=4|mouth=2|smiling=4|hat=4"
2170222061_e8bce4a32d_1,"a dog chasing an animals tail on the grass","little=1|jumps=1|field=2|running=3|mouth=1|small=1|grass=5|dogs=5"
2176980976_7054c99621_4,"three people sitting on a cliff","mountain=1|sitting=5|park=1|three=4|face=1|rock=2|smiling=1|sits=4|beach=1"
2182488373_df73c7cc09_3,"two older women walking down the busy street with shopping bags","building=1|brown=1|shirt=1|car=1|carrying=4|face=2|street=5|mouth=1|holding=2|walks=3|camera=1|road=4|women=5"
2183227136_8bb657846b_0,"a child playing in the beach sand during a sunset","boy=1|little=3|young=2|yellow=1|ocean=4|water=3|orange=1|sand=4|small=1|beach=5|children=5|swimming=1"
2189995738_352607a63b_4,"two children playing in a river near a wooden bridge","boy=1|little=2|sitting=1|young=4|water=3|small=1|smiling=1|children=5"
219070971_ae43410b9e_2,"a man in red pushes his motocross bike up a rock","wearing=3|boy=1|climbing=2|dirt=2|top=1|walks=1|bike=5|carrying=1|rock=3|riding=1|rides=1|red=2"
2192131110_8a40e7c028_3,"person on swing","rides=1|sits=3|park=2|riding=1|sitting=4"
219301555_17883a51bd_0,"an extremely wet woman is wading in front of a waterfall","mountain=1|swimming=3|stands=1|young=1|face=1|water=4|walks=1|grass=1|beach=1|pool=2|women=3"
2194286203_5dc620006a_0,"a little girl and boy play in the sand on the beach","boy=3|little=5|toy=2|sitting=2|young=5|ocean=4|water=2|sand=4|small=2|smiling=1|beach=5|children=3|swimming=1"
2194494220_bb2178832c_2,"a woman cross-country skiing with a brown dog","brown=5|snowy=1|snow=3|air=1|field=2|mouth=1|riding=1|face=1|rides=1|dogs=4|women=3"
2196107384_361d73a170_0,"a man wearing a black hat walks along a road next to a building","wearing=2|building=4|stands=1|jacket=1|street=4|black=2|walks=3|hat=4|road=2"
2196316998_3b2d63f01f_1,"a man is playing blowing into bagpipes whilst another man tests the tone with an electronic tuner","mouth=1|carrying=1|park=1|holding=1|air=2"
2196846255_2c1635359a_4,"the large brown dog stands in the choppy water","water=2|stands=5|brown=4|park=1|air=1|large=2|ocean=4|beach=1|dogs=4|pool=1|swimming=2"
2197275664_fabcf3424b_3,"the girl is on a red scooter","bike=1|little=2|sitting=2|park=1|young=4|face=1|street=3|red=4|small=2|riding=5|rides=3|children=2|road=2"
2204550058_2707d92338_3,"a woman with a white glove and several others","wearing=3|white=5|women=5"
2206960564_325ed0c7ae_2,"a white puppy is running on a tiled floor","small=2|running=5|white=3|young=2|dogs=2"
2207244634_1db1a1890b_0,"a man wearing a red helmet jumps up while riding a skateboard","wearing=3|stands=1|jumps=2|skateboard=5|air=3|street=1|road=1|riding=3|rides=3|red=2"
2208067635_39a03834ca_4,"the long black shadow casts a image on the rock while the young girl climbs the rock","mountain=1|little=1|stands=1|top=1|tree=1|young=4|large=1|rock=4|small=2|climbing=3|children=3|women=1"
2208310655_a3d83080c5_3,"boy kissing woman and girl sticking out her tongue","boy=4|little=1|young=2|face=1|mouth=5|stick=1|small=3|smiling=2|children=4|women=4"
2215136723_960edfea49_2,"a toddler in a red jacket is balancing on top of snow","wearing=3|boy=1|little=3|stands=3|snowy=3|top=1|tree=1|young=2|snow=4|jacket=5|small=1|mountain=1|walks=1|baby=2|white=2|face=2|children=2|red=4"
2216695423_1362cb25f3_3,"four dogs play with each other and with sticks","toy=2|tree=1|park=1|three=1|field=1|running=1|carrying=1|mouth=2|stick=5|holding=1|dogs=4"
