utt_key,transcription,keywords
1402640441_81978e32a9_0,"a boy in red and blue shorts is trying to catch a soccer ball while running in sand","boy|ball|sand|young|running|ocean|soccer|beach|children|red"
1404832008_68e432665b_2,"a man on a tag line going into the water","water|ocean|beach|pool|swimming"
1408958345_68eea9a4e4_0,"a girl smiles as she runs across the white sandy beach in her swimsuit","wearing|white|sand|young|water|running|smiling|ocean|beach|children"
1415591512_a84644750c_4,"the little girl is spinning around making her hair fly in front of the silver car","little|car|young|hair"
1417031097_ab656bc4bd_3,"people on an amusement park ride","park|riding|smiling|rides"
1425069308_488e5fcf9d_1,"a white dog catching a blue ball","ball|jumps|toy|mouth|white|dogs"
1427391496_ea512cbe7f_1,"a little boy is smiling for the camera on a playground","boy|little|young|face|camera|small|smiling|children"
1432179046_8e3d75cf81_3,"man stands outside against wall with tennis racket in dark","building|stands|tennis|holding"
1433142189_cda8652603_1,"a man is backpacking up a grassy hill","wearing|walks|climbing|grass"
143688283_a96ded20f1_2,"a man in a white shirt and helmet is using climbing equipment","wearing|shirt|climbing|white"
1446053356_a924b4893f_0,"children participate in a sport on a green field while in uniforms","young|field|running|grass|children"
1456393634_74022d9056_3,"a little boy does a cartwheel on the beach","boy|little|young|ocean|sand|beach|children"
1461667284_041c8a2475_4,"four people performing music outdoors",""
1467533293_a2656cc000_3,"two little girls in pink are in a playground","wearing|pink|little|park|young|children"
1472230829_803818a383_4,"seven rafters are paddling and riding the rapids in a green raft","sitting|rides|water|riding"
1472882567_33dc14c8b6_2,"four people climbing a hill in the snow","mountain|snowy|snow|climbing"
1490213660_9ea45550cf_2,"a male weimaraner with a clipped tail is walking through a river","water|walks|dogs"
1490670858_e122df2560_0,"a child on a red slide","boy|little|young|children|red"
1499581619_a5f65a882c_4,"two people kiss on the beach","ocean|water|sand|beach"
150387174_24825cf871_0,"a man dressed in camouflage riding a motorbike","wearing|bike|riding|sits|rides"
1509786421_f03158adfc_4,"the man in the blue shirt is looking in the direction to which the little boy is pointing","wearing|boy|little|shirt|young"
1517721825_10176d0683_4,"three dogs run through the water near the rocks and make splashes","three|water|running|rock|beach|dogs"
1523984678_edd68464da_4,"the dog wearing the red collar is running across the grass with a ball in its mouth","wearing|ball|carrying|running|mouth|holding|grass|dogs|red"
1536774449_e16b1b6382_3,"a very large group of people stand outdoors under the beautiful clouds","large|field"
1547883892_e29b3db42e_0,"a girl is reading while drinking starbuck 's coffee","young|holding"
154871781_ae77696b77_3,"two boys kick around a ball in a meadow","boy|ball|young|field|running|grass|children"
1554713437_61b64527dd_3,"a skinny brown dog walks across a large piece of fallen tree","brown|tree|large|walks|dogs"
1561658940_a947f2446a_0,"a little girl in a swing laughs","little|face|sitting|park|young|small|smiling|sits|children"
1572532018_64c030c974_2,"three boys are running on the beach playing a game","boy|sand|young|three|running|ocean|beach|children"
1584315962_5b0b45d02d_3,"mountain climbers are setting up their tents","mountain|rock"
160792599_6a7ec52516_0,"a group of people stand in the sand looking out at the water","stands|ocean|water|sand|beach"
1626754053_81126b67b6_4,"dog jumping for frisbee","toy|jumps|dogs"
1659358141_0433c9bf99_3,"a grey dog walks in the green grass tongue hanging out","walks|grass|dogs"
166507476_9be5b9852a_4,"two oriental lizards are fighting for dominance in a small pond","water|small"
1674612291_7154c5ab61_0,"a dog is jumping to catch a frisbee and casts a perfect shadow","toy|jumps|air|dogs"
1679617928_a73c1769be_4,"the black and white dog is tethered next to a yellow car","car|yellow|black|white|dogs"
1682079482_9a72fa57fa_0,"a little girl on a kid swing","little|sitting|young|riding|sits|children"
170100272_d820db2199_3,"a little girl is sliding down a slide at a park","little|park|young|grass|children"
1714316707_8bbaa2a2ba_3,"a person in a red jacket stands under a snow-covered tree","wearing|stands|snowy|tree|snow|jacket|red"
172097782_f0844ec317_1,"a man waterskiing with one hand","ocean|water|riding"
1764955991_5e53a28c87_3,"a large dog walks along a gravel path in the woods","tree|walks|large|dogs"
1765164972_92dac06fa9_4,"the person is posing in a red flannel shirt with a mohawk","wearing|face|red|shirt"
1772859261_236c09b861_4,"black and white dog wearing a harness walking through water","wearing|water|black|walks|white|dogs"
1773928579_5664a810dc_1,"a dog is running through an obstacle course in front of a group of people","field|running|race|dogs"
1786425974_c7c5ad6aa1_3,"the black dog is sniffing the brown dog 's butt","brown|black|dogs"
180094434_b0f244832d_2,"three boys play around a fountain in an office building courtyard","building|boy|young|three|water|children"
180506881_de0f59770f_2,"two guys walking one carrying a skateboard","carrying|skateboard|walks"
1808370027_2088394eb4_3,"the dog swims through the water toward the waterfall","ocean|water|dogs|pool|swimming"
1836335410_de8313a64e_4,"the man is playing with his star wars light sword","toy|carrying|stick|holding"
1897025969_0c41688fa6_4,"two dogs one white and one black play with each other in the sand","sand|black|white|beach|dogs"
189721896_1ffe76d89e_2,"a young man climbs a mountain another follows below","mountain|young|climbing"
191003285_edd8d0cf58_0,"a man and a girl sit on the ground and eat","grass|sitting|mouth|sits"
1917265421_aeccf1ca38_1,"children playing with a pig","children"
1962729184_6996e128e7_4,"group of schoolchildren in uniforms standing at a gate one kissing her mother goodbye","little|mouth|small|children|women"
197107117_4b438b1872_2,"a rock climber climbs in between two very large rocks","large|mountain|climbing|rock"
197504190_fd1fc3d4b7_4,"two little boys are playing outside with their soccer ball on the green grass","boy|little|ball|young|soccer|field|running|small|grass|children"
1982852140_56425fa7a2_4,"two people running on the shore of a beach","running|ocean|water|sand|beach"
1998457059_c9ac9a1e1a_4,"some wakeboarders riding waves on a beach busy with tourists","rides|ocean|water|riding|beach"
200771289_31902164a7_2,"two men in black bulletproof vests watch something taking place to the right of the picture","wearing|black"
2021613437_d99731f986_4,"one little boy dribbles his basketball","boy|little|ball|young"
2041867793_552819a40b_3,"child in a restaurant posing with a paper mask","little|young|face|children"
2049051050_20359a434a_0,"a girl in a black jacket and hat is covered in a pink blanket","wearing|jacket|young|pink|black|hat"
2054869561_ff723e9eab_0,"a black and white dog chases a pink frisbee","pink|toy|black|white|dogs"
2061144717_5b3a1864f0_1,"a man and young boy are standing looking at each other in an outdoor garden area","boy|stands|park|young|grass"
2061354254_faa5bd294b_3,"a man pushes a boy on a zip line","boy|little|young|children"
2064790732_219e52e19c_1,"a little boy dances with a group of people behind him on a city street","boy|little|young|small|street|children"
2073105823_6dacade004_1,"a man skateboards down a steep railing next to some steps","skateboard|street|riding"
2073964624_52da3a0fc4_1,"a woman wearing a pink cap riding a bicycle","pink|wearing|hat|riding|rides|women"
2075321027_c8fcbaf581_3,"closeup of a man cycling down a road lined with boulders","bike|rock|riding|rides|road"
2077079696_03380d218b_1,"a man carying sticks descends a rocky hill","mountain|walks|carrying|stick|rock|climbing"
2078311270_f01c9eaf4c_3,"two women walking down the street","street|walks|road|women"
2083434441_a93bc6306b_2,"an older woman with blond hair rides a bicycle down the street","bike|yellow|hair|street|riding|rides|road|women"
2084217208_7bd9bc85e5_2,"a woman riding a bike in a park","bike|park|riding|grass|rides|women"
2086513494_dbbcb583e7_1,"a girl in a white puffy jacket takes a picture","wearing|white|jacket|camera"
2089426086_7acc98a3a8_0,"a girl in a hooded jacket presents a cake with candles","wearing|jacket|women"
2096771662_984441d20d_0,"a man looks through his binoculars while another man holds a drink","holding"
2100816230_ff866fb352_3,"a skier catches air over the snow","snowy|jumps|snow|air|rides"
2101457132_69c950bc45_4,"a wet black dog leaps across a stream","jumps|water|black|dogs|swimming"
2102360862_264452db8e_0,"a man on the beach is taking a picture of another man","ocean|sand|beach"
2103568100_5d018c495b_2,"a white dog is walking through a river that runs through a rocky landscape","mountain|rock|water|white|dogs"
2105756457_a100d8434e_4,"two young kids are in a hut","building|little|young|children"
2112921744_92bf706805_2,"a dog stands on the side of a grassy cliff","grass|stands|dogs"
211295363_49010ca38d_1,"a large boat drives through the harbor","water|large|ocean"
2120383553_5825333a3f_0,"a girl wrings out a wet shirt","little|shirt|young|water"
2120411340_104eb610b1_3,"a white dog stands in front of a cow that has its head down and horns directed at the dog","stands|white|dogs"
2124040721_bffc0a091a_4,"a person with gray hair wears a red hat and watches it snow","wearing|snowy|snow|air|hair|hat|red"
2128119486_4407061c40_0,"a baby eats and has food on his face","little|young|face|baby|mouth"
2140182410_8e2a06fbda_0,"a boy in black winter clothes sits on an inflated sled by a mound of snow","boy|rides|snowy|young|snow|jacket|black|sitting|white|sits"
2148916767_644ea6a7fa_0,"a black and white dog playing in the snow together","snowy|snow|black|white|dogs"
215214751_e913b6ff09_1,"a silhouette of two men in a boat on a misty lake","water"
2160266952_a2ab39191b_1,"the children are wearing black tights while hopping","wearing|little|young|black|small|children"
2162564553_96de62c7e6_1,"a shirtless man in a pink hat is standing on a rocky shore","pink|wearing|stands|hat|ocean|water|rock|beach|shirt"
2167644298_100ca79f54_2,"a man wearing all black and a black hat is smiling","wearing|black|smiling|hat"
2170222061_e8bce4a32d_1,"a dog chasing an animals tail on the grass","running|grass|dogs"
2176980976_7054c99621_4,"three people sitting on a cliff","sitting|three|sits"
2182488373_df73c7cc09_3,"two older women walking down the busy street with shopping bags","carrying|street|walks|road|women"
2183227136_8bb657846b_0,"a child playing in the beach sand during a sunset","little|ocean|water|sand|beach|children"
2189995738_352607a63b_4,"two children playing in a river near a wooden bridge","young|water|children"
219070971_ae43410b9e_2,"a man in red pushes his motocross bike up a rock","wearing|bike|rock|red"
2192131110_8a40e7c028_3,"person on swing","sits|sitting"
219301555_17883a51bd_0,"an extremely wet woman is wading in front of a waterfall","swimming|water|women"
2194286203_5dc620006a_0,"a little girl and boy play in the sand on the beach","boy|little|young|ocean|sand|beach|children"
2194494220_bb2178832c_2,"a woman cross-country skiing with a brown dog","brown|snow|dogs|women"
2196107384_361d73a170_0,"a man wearing a black hat walks along a road next to a building","wearing|building|street|black|walks|hat|road"
2196316998_3b2d63f01f_1,"a man is playing blowing into bagpipes whilst another man tests the tone with an electronic tuner",""
2196846255_2c1635359a_4,"the large brown dog stands in the choppy water","water|stands|brown|large|ocean|dogs"
2197275664_fabcf3424b_3,"the girl is on a red scooter","young|street|red|riding|rides"
2204550058_2707d92338_3,"a woman with a white glove and several others","wearing|white|women"
2206960564_325ed0c7ae_2,"a white puppy is running on a tiled floor","running|white"
2207244634_1db1a1890b_0,"a man wearing a red helmet jumps up while riding a skateboard","wearing|jumps|skateboard|air|riding|rides|red"
2208067635_39a03834ca_4,"the long black shadow casts a image on the rock while the young girl climbs the rock","young|rock|climbing|children|black"
2208310655_a3d83080c5_3,"boy kissing woman and girl sticking out her tongue","boy|mouth|stick|small|children|women"
2215136723_960edfea49_2,"a toddler in a red jacket is balancing on top of snow","wearing|little|stands|snowy|top|snow|jacket|red"
2216695423_1362cb25f3_3,"four dogs play with each other and with sticks","stick|dogs"
2218609886_892dcd6915_2,"a man wearing a dark blue hat sits on the ground and leans against a building","wearing|building|sitting|sits|hat"
2224450291_4c133fabe8_2,"a man taking a picture with a silver camera","camera|holding"
2225231022_1632d0a5aa_4,"two women and a man smile for the camera","camera|smiling|women"
2228022180_9597b2a458_2,"group of children in blue uniforms sitting on steps","sitting|young|sits|children"
2229179070_dc8ea8582e_2,"a dog jumps through a black hulahoop","jumps|black|dogs"
223299142_521aedf9e7_4,"the person is high on a mountain during sunset","mountain|climbing"
2238019823_79318d1f11_3,"a surfer under a bridge","water|beach"
2238759450_6475641bdb_4,"someone is pulling an inflatable boat with an oar in it","water|carrying|beach"
2239938351_43c73c887c_0,"a big black dog carries a blue ball while two corgis run at his side","ball|running|black|holding|small|dogs"
224369028_b1ac40d1fa_0,"a little blonde girl is standing in front of a water fountain","little|stands|young|water|small|children"
2247889670_413db8094b_3,"a man in a brown jacket is running on a sandy bay towards a dog that is in turn running towards him","water|brown|sand|jacket|running|beach|dogs"
2248487950_c62d0c81a9_1,"a man talks on his cellphone and another man rides a wheelchair","sitting|face|holding|riding|rides"
2251747182_6b67a3ab8b_2,"a young boy playing basketball is getting ready to take a shot","boy|little|ball|stands|young|children"
2256133102_e2c8314ecb_1,"a man is hanging by a line off a cliff above water","air|water|ocean"
2265096094_8cc34d669c_0,"a donkey pulling a cart with a boy in it takes a brake","boy|young|carrying|children"
226607225_44d696db6b_1,"a large fish breaching the water 's surface","water|large"
2271755053_e1b1ec8442_1,"a young boy is playing basketball in an official game","boy|ball|young|small|children"
2274992140_bb9e868bb8_3,"two young children are playing in the living room with some toys","young|toy|children"
2280525192_81911f2b00_2,"a dog wearing a red harness runs across a field","wearing|field|running|grass|dogs|red"
2283966256_70317e1759_2,"a dog with a snub nose smells for somthing on a riverbank","water|dogs"
2285570521_05015cbf4b_2,"a man is hiking on a snow-covered trail","snowy|snow|walks"
2288099178_41091aa00c_4,"two children are skating quickly on ice","young|children"
2289068031_fe26990183_1,"a motorbike jumping a pole","bike|jumps|riding"
2292406847_f366350600_1,"a man is rowing in a small boat called neptuno","water|small|riding"
2295216243_0712928988_4,"several people are dancing in some sand","sand"
2295750198_6d152d7ceb_4,"person walking in the field","field|grass"
229862312_1a0ba19dab_4,"a golden dog is laying on its back in the grass","field|grass|dogs"
2300168895_a9b83e16fc_3,"a dog sitting on grass","sits|sitting|grass|dogs"
2301525531_edde12d673_3,"a small white and black dog jumping in the snow","snowy|snow|jumps|black|small|white|dogs"
2306674172_dc07c7f847_1,"a man flies through the air on his skateboard above a white staircase","jumps|skateboard|air|riding|white|rides"
2307118114_c258e3a47e_4,"there is a man with a black shirt and a black hat smiling","wearing|shirt|black|smiling|hat"
2308271254_27fb466eb4_2,"two dogs moving through water close to the shore","ocean|water|beach|dogs|swimming"
2308978137_bfe776d541_1,"a large group of people wearing similar clothing riding a single vehicle","wearing|large|riding"
2309860995_c2e2a0feeb_1,"a woman wearing a black coat and sunglasses is standing in front of a man walking away with a backpack","wearing|stands|black|walks|women"
2310126952_7dc86d88f6_0,"a dog sled team seen from behind","snow|race|dogs"
2311690895_0d6efe11c8_1,"a dog bites someone 's finger","dogs"
2317714088_bcd081f926_2,"people stand outside a house","building|street|stands"
2333288869_8c01e4c859_3,"a woman holds a baby 's hand and walks in the water","little|young|water|baby|holding|walks|small|beach|children"
2339106348_2df90aa6a9_1,"an asian boy and an asian girl are smiling in a crowd of people","boy|face|large|smiling|children"
2340206885_58754a799a_0,"a group of dogs look at each other while standing in the snow","stands|snowy|snow|dogs"
2343525685_3eba3b6686_3,"a man struggles to climb a rock wall","rock|climbing"
2345984157_724823b1e4_4,"a gray dog is shaking water from its body","water|dogs"
2346401538_f5e8da66fc_4,"the woman in blue is operating a camera in front of two other women","camera|women"
2351479551_e8820a1ff3_3,"man with blue pants flipping in the air","jumps|air"
2354540393_a149722680_0,"a little girl is falling backwards onto a bed","little|young|children"
2358554995_54ed3baa83_1,"a child is holding on to the top of a playground slide","top|park|young|holding|small|climbing|children"
2358561039_e215a8d6cd_3,"the dogs are pulling a man on a type of bike through the snow","snowy|snow|bike|riding|white|rides|dogs"
2358898017_24496b80e8_1,"a dog is crouching on the grass near a hurdle","sitting|grass|dogs"
2370481277_a3085614c9_0,"a group of young boys playing soccer","boy|soccer|ball|park|young|field|running|grass|children"
2373234213_4ebe9c4ee5_0,"a boy jumping over another boy on a trampoline","boy|jumps|young|children"
2374652725_32f90fa15c_2,"a small dog and a large dog in the snow","snow|large|small|dogs"
2378149488_648e5deeac_4,"kid wearing a paper crown sitting in a shopping cart","wearing|sitting|young|sits|hat|children"
2384353160_f395e9a54b_4,"the man is wearing a black hat a beige shirt and has his sunglasses hanging off the shirt","wearing|shirt|black|hat"
2393264648_a280744f97_3,"a woman is taking a photograph on a beach at the edge of the water while a girl stands in the foreground","stands|camera|young|ocean|water|sand|holding|beach|women"
2396025708_e4a72e2558_2,"a man windsurfs in the ocean","rides|water|sand|riding|ocean|beach"
2396691909_6b8c2f7c44_4,"two teenage girls are wearing fancy dresses at an event","wearing|young"
2398605966_1d0c9e6a20_4,"two small dogs playing in the snow together","snowy|snow|small|white|dogs"
241031254_0c6f30e3d1_3,"a short stubby man with a backpack is standing in a forest","small"
2410320522_d967f0b75c_0,"a big dog holds its paw out to keep another dog at bay","large|dogs"
241345811_46b5f157d4_1,"a football coach speaks with a player","ball|football|field"
241345844_69e1c22464_4,"the coach talks it over with his quarterback during a timeout","football|field"
241345905_5826a72da1_4,"two men help an injured player on the field","field|grass"
241346508_0b3907a95b_3,"the man in red has the football and the team in white is nearby","ball|shirt|football|field|holding|white|red"
241346971_c100650320_2,"the guy in the blue and white jersey is running and the guy in the red and white jersey is falling","shirt|running|race|white|red"
241347204_007d83e252_2,"football players gathering to contest something to collaborating officials","ball|football|field"
241347760_d44c8d3a01_3,"guy in red and white football uniform","wearing|ball|football|white|red"
2414397449_2ac3b78e0d_3,"two dogs are playing in a field of tall grass","field|grass|dogs"
2415803492_56a673dc25_4,"the man wearing the blues brothers suit is dancing with the little girl in the pink top","wearing|pink|little|shirt|top|young|jacket|small|children"
2419221084_01a14176b4_0,"a white dog runs past another dog who is standing beside some patio furniture","stands|running|white|dogs"
2421446839_fe7d46c177_4,"white and black dog jumps at someone through car window","car|jumps|black|white|dogs"
2431470169_0eeba7d602_3,"man reading in a chair outside","sitting|air|sits"
2431832075_00aa1a4457_4,"this girl is playing on an object which is yellow green red and blue","yellow|children|red"
2435685480_a79d42e564_2,"a woman in a knit cap and green coat its on a stone block looking out","wearing|stands|jacket|hat|women"
2436081047_bca044c1d3_4,"the young girl in the pink shirt and blue jeans is jumping off the tire swing","pink|shirt|jumps|young|field|children"
2443380641_7b38d18f5b_0,"a child in an orange shirt holding a baseball bat watches the ball thrown at him","boy|ball|shirt|young|holding|orange|children"
2445283938_ff477c7952_1,"a group of girls sitting in a circle","sitting|young|sits|children"
244571201_0339d8e8d1_4,"several people and dogs are in or near a large outdoor swimming pool","large|park|water|dogs|pool|swimming"
2447284966_d6bbdb4b6e_4,"the boy wearing a black shirt and blue jeans is holding a red baseball bat","wearing|boy|ball|young|black|holding|children|red|shirt"
2450299735_62c095f40e_2,"a little girl in a white shirt sliding down a green slide splashing into a blue baby pool","little|young|water|baby|white|pool|swimming|shirt"
2450453051_f1d4a78ab4_4,"man in white shirt tossing frisbee for black and white dog who has a white frisbee in its mouth","toy|jumps|carrying|black|mouth|white|dogs|shirt"
245252561_4f20f1c89e_4,"two dogs are playing together on the pavement","dogs"
2453971388_76616b6a82_4,"two young girls run through a pool while water sprays them","little|young|water|running|children|pool"
2458269558_277012780d_2,"a child is smiling while being on a swing","sitting|park|young|small|smiling|sits|children"
245895500_a4eb97af02_4,"the man is standing in the river next to smoking grass","stands|water|grass"
246055693_ccb69ac5c6_4,"a yellow dog jumping off of a porch","jumps|yellow|dogs"
2460797929_66446c13db_0,"a group of 6 boys are wearing yellow life vests and are on a make-shift raft","wearing|water|boy|sitting|young|yellow|children"
2461616306_3ee7ac1b4b_1,"a boy jumps into a pool on a bright sunny day","boy|jumps|young|water|children|pool|swimming"
2470486377_c3a39ccb7b_3,"the boy in the black sweatshirt is hitting the yellow object held by the boy in the blue sweatshirt","wearing|boy|young|yellow|black|holding|children|shirt"
2472980433_210ec62874_4,"the motorcycle is being ridden on a track whilst pulling a wheelie","bike|riding|rides"
2473689180_e9d8fd656a_2,"a wakeboarder is attempting a trick while holding on to lines pointed upward","rides|jumps|ocean|water|holding|riding|beach"
2473738924_eca928d12f_4,"two young girls sparring in white martial arts outfits while a third person watches from the side","young|white|children"
2473791980_805c819bd4_4,"a waterskier cuts through the blue water with sailboats in the background","water|ocean"
2475162978_2c51048dca_3,"a woman is running after a boy on the grass","boy|young|running|grass|children|women"
247637795_fdf26a03cf_2,"a woman holding a black leash and a man looking down","black|holding|women"
247704641_d883902277_3,"the black dog is walking along a tree trunk bridge over water","tree|water|black|walks|dogs"
2479162876_a5ce3306af_4,"dog in desert area with distant man in background","dirt|dogs"
2479652566_8f9fac8af5_4,"a young girl wearing red sunglasses sits near a sink and holds the faucet","wearing|young|sits|children|red"
2480327661_fb69829f57_3,"a young boy practicing martial arts","boy|young"
2480850054_de3433b54a_0,"a boy is kicking up dust as he runs in the dirt by a tree","boy|dirt|tree|running|children"
2482629385_f370b290d1_4,"a large brown dog leans into the water from the grassy shore","water|brown|ocean|large|grass|dogs"
2484190118_e89363c465_3,"a young man wearing a white t-shirt and green and black shorts standing on a stump","wearing|stands|young|black|white|shirt"
2490768374_45d94fc658_1,"a young girl smiles while wearing a teal fluffy skirt","wearing|young|mouth|smiling|children"
249394748_2e4acfbbb5_3,"two white dogs running in the grass together","field|running|white|grass|dogs"
2495931537_9b8d4474b6_3,"one dog sniffs another lying on the ground","grass|dogs"
2496370758_a3fbc49837_1,"a white dog and a brown dog running across a grassy field","brown|field|running|race|white|grass|dogs"
2497420371_74788d7ba1_4,"a man outside at a red brick building with a grocery cart a bike and miscellaneous","building|bike|red"
2498897831_0bbb5d5b51_4,"three young girls pose together outside","three|young|smiling|children"
2501595799_6316001e89_3,"a little boy jumps into a child 's pool in a backyard","boy|little|jumps|young|water|small|children|pool|swimming"
2502905671_c6039804ab_1,"a dog waits for a man to throw a ball into the ocean","ball|water|sand|toy|holding|ocean|beach|dogs"
2505988632_9541f15583_1,"a girl wearing pink shoes jumps over a rope and smiles","wearing|pink|jumps|smiling|children"
2510020918_b2ca0fb2aa_2,"a young boy dressed in a black hoodie crawling through a large white tube","boy|large|young|black|white|children"
2511019188_ca71775f2d_2,"two dark colored dogs romp in the grass with a blue frisbee","toy|field|black|grass|dogs"
2518508760_68d8df7365_3,"a muzzled race dog running","running|race|dogs"
2521770311_3086ca90de_1,"a boy in a long sleeve shirt is holding a box above his head","wearing|boy|young|carrying|holding|children|shirt"
2522297487_57edf117f7_2,"a white woman in a green sweater holds a smiling child whilst a smiling boy in a yellow shirt looks on","wearing|boy|little|shirt|young|three|yellow|children|baby|carrying|holding|small|white|face|smiling|women"
2525270674_4ab536e7ec_4,"the brown and white dog is catching a frisbee in his mouth","brown|toy|jumps|mouth|white|dogs"
2526041608_a9775ab8d7_4,"two young football players wearing blue and yellow uniforms fight for the ball","wearing|ball|football|young|yellow|soccer|field"
2526585002_10987a63f3_4,"two men huddle around a dog",""
2529116152_4331dabf50_1,"a man break dances",""
2533424347_cf2f84872b_3,"a sponsored race car is spinning its tires on a track while being watched by spectators","car|race|road"
2533642917_a5eace85e6_3,"a wet child standing in water","stands|young|ocean|water|small|children|pool"
2534502836_7a75305655_4,"a white and tan dog runs through the tall green grass","running|white|grass|dogs"
2541104331_a2d65cfa54_3,"the large brown dog is running through shallow water","brown|large|ocean|water|running|dogs|pool"
2542662402_d781dd7f7c_2,"a woman next to a dog which is running an obstacle course","running|dogs|women"
254295381_d98fa049f4_2,"a dog has his paw on the red roof of a kennel","dogs|red"
2543589122_ec3e55f434_3,"a dog is splashing through water trying to catch ice in its mouth","water|mouth|dogs|swimming"
2544182005_3aa1332bf9_3,"a young child rides a small purple bike while wearing a red helmet","wearing|rides|young|bike|small|riding|children|red"
2544426580_317b1f1f73_2,"the baby in suspenders sits by a toy","little|toy|sitting|young|baby|sits|children"
